fylke_name,fylke_number,kommune_name,kommune_number,price_zone
Oslo,03,Oslo,0301,NO1
Rogaland,11,Eigersund,1101,NO5
Rogaland,11,Stavanger,1103,NO5
Rogaland,11,Haugesund,1106,NO5
Rogaland,11,Sandnes,1108,NO5
Rogaland,11,Sokndal,1111,NO5
Rogaland,11,Lund,1112,NO5
Rogaland,11,Bjerkreim,1114,NO5
Rogaland,11,Hå,1119,NO5
Rogaland,11,Klepp,1120,NO5
Rogaland,11,Time,1121,NO5
Rogaland,11,Gjesdal,1122,NO5
Rogaland,11,Sola,1124,NO5
Rogaland,11,Randaberg,1127,NO5
Rogaland,11,Strand,1130,NO5
Rogaland,11,Hjelmeland,1133,NO5
Rogaland,11,Suldal,1134,NO5
Rogaland,11,Sauda,1135,NO5
Rogaland,11,Kvitsøy,1144,NO5
Rogaland,11,Bokn,1145,NO5
Rogaland,11,Tysvær,1146,NO5
Rogaland,11,Karmøy,1149,NO5
Rogaland,11,Utsira,1151,NO5
Rogaland,11,Vindafjord,1160,NO5
Møre og Romsdal,15,Kristiansund,1505,NO5
Møre og Romsdal,15,Molde,1506,NO5
Møre og Romsdal,15,Ålesund,1508,NO5
Møre og Romsdal,15,Vanylven,1511,NO5
Møre og Romsdal,15,Sande,1514,NO5
Møre og Romsdal,15,Herøy,1515,NO5
Møre og Romsdal,15,Ulstein,1516,NO5
Møre og Romsdal,15,Hareid,1517,NO5
Møre og Romsdal,15,Ørsta,1520,NO5
Møre og Romsdal,15,Stranda,1525,NO5
Møre og Romsdal,15,Sykkylven,1528,NO5
Møre og Romsdal,15,Sula,1531,NO5
Møre og Romsdal,15,Giske,1532,NO5
Møre og Romsdal,15,Vestnes,1535,NO5
Møre og Romsdal,15,Rauma,1539,NO5
Møre og Romsdal,15,Aukra,1547,NO5
Møre og Romsdal,15,Averøy,1554,NO5
Møre og Romsdal,15,Gjemnes,1557,NO5
Møre og Romsdal,15,Tingvoll,1560,NO5
Møre og Romsdal,15,Sunndal,1563,NO5
Møre og Romsdal,15,Surnadal,1566,NO5
Møre og Romsdal,15,Smøla,1573,NO5
Møre og Romsdal,15,Aure,1576,NO5
Møre og Romsdal,15,Volda,1577,NO5
Møre og Romsdal,15,Fjord,1578,NO5
Møre og Romsdal,15,Hustadvika,1579,NO5
Møre og Romsdal,15,Haram,1580,NO5
Nordland - Nordlánnda,18,Bodø,1804,NO4
Nordland - Nordlánnda,18,Narvik,1806,NO4
Nordland - Nordlánnda,18,Bindal,1811,NO4
Nordland - Nordlánnda,18,Sømna,1812,NO4
Nordland - Nordlánnda,18,Brønnøy,1813,NO4
Nordland - Nordlánnda,18,Vega,1815,NO4
Nordland - Nordlánnda,18,Vevelstad,1816,NO4
Nordland - Nordlánnda,18,Herøy,1818,NO4
Nordland - Nordlánnda,18,Alstahaug,1820,NO4
Nordland - Nordlánnda,18,Leirfjord,1822,NO4
Nordland - Nordlánnda,18,Vefsn,1824,NO4
Nordland - Nordlánnda,18,Grane,1825,NO4
Nordland - Nordlánnda,18,Aarborte - Hattfjelldal,1826,NO4
Nordland - Nordlánnda,18,Dønna,1827,NO4
Nordland - Nordlánnda,18,Nesna,1828,NO4
Nordland - Nordlánnda,18,Hemnes,1832,NO4
Nordland - Nordlánnda,18,Rana,1833,NO4
Nordland - Nordlánnda,18,Lurøy,1834,NO4
Nordland - Nordlánnda,18,Træna,1835,NO4
