"14491: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"1 Husholdninger, i alt";"2012K1";34.4;42.0;100.0
"1 Husholdninger, i alt";"2012K2";26.1;31.8;100.0
"1 Husholdninger, i alt";"2012K3";20.0;24.3;100.0
"1 Husholdninger, i alt";"2012K4";30.4;37.1;100.0
"1 Husholdninger, i alt";"2013K1";34.9;42.6;100.0
"1 Husholdninger, i alt";"2013K2";34.6;42.2;100.0
"1 Husholdninger, i alt";"2013K3";33.4;40.6;100.0
"1 Husholdninger, i alt";"2013K4";35.6;43.4;100.0
"1 Husholdninger, i alt";"2014K1";31.5;38.4;100.0
"1 Husholdninger, i alt";"2014K2";26.6;32.5;100.0
"1 Husholdninger, i alt";"2014K3";31.6;38.5;100.0
"1 Husholdninger, i alt";"2014K4";31.7;38.7;100.0
"1 Husholdninger, i alt";"2015K1";31.3;38.1;100.0
"1 Husholdninger, i alt";"2015K2";26.0;31.7;100.0
"1 Husholdninger, i alt";"2015K3";20.0;24.4;100.0
"1 Husholdninger, i alt";"2015K4";25.9;31.6;100.0
"1 Husholdninger, i alt";"2016K1";28.7;35.0;100.0
"1 Husholdninger, i alt";"2016K2";28.8;35.1;100.0
"1 Husholdninger, i alt";"2016K3";30.5;37.2;100.0
"1 Husholdninger, i alt";"2016K4";37.6;45.8;100.0
"1 Husholdninger, i alt";"2017K1";34.3;41.9;100.0
"1 Husholdninger, i alt";"2017K2";33.1;40.4;100.0
"1 Husholdninger, i alt";"2017K3";33.3;40.6;100.0
"1 Husholdninger, i alt";"2017K4";36.0;43.8;100.0
"1 Husholdninger, i alt";"2018K1";42.5;51.8;100.0
"1 Husholdninger, i alt";"2018K2";44.6;54.4;100.0
"1 Husholdninger, i alt";"2018K3";55.3;67.5;100.0
"1 Husholdninger, i alt";"2018K4";54.8;66.9;100.0
"1 Husholdninger, i alt";"2019K1";55.2;67.4;100.0
"1 Husholdninger, i alt";"2019K2";45.6;55.7;100.0
"1 Husholdninger, i alt";"2019K3";42.5;51.9;100.0
"1 Husholdninger, i alt";"2019K4";46.8;57.2;100.0
"1 Husholdninger, i alt";"2020K1";26.8;32.7;100.0
"1 Husholdninger, i alt";"2020K2";14.9;18.2;100.0
"1 Husholdninger, i alt";"2020K3";14.4;17.6;100.0
"1 Husholdninger, i alt";"2020K4";22.2;27.1;100.0
"1 Husholdninger, i alt";"2021K1";53.5;65.3;100.0
"1 Husholdninger, i alt";"2021K2";50.9;62.2;100.0
"1 Husholdninger, i alt";"2021K3";76.3;93.1;100.0
"1 Husholdninger, i alt";"2021K4";108.1;132.0;100.0
"1 Husholdninger, i alt";"2022K1";117.2;143.1;100.0
"1 Husholdninger, i alt";"2022K2";124.2;151.6;100.0
"1 Husholdninger, i alt";"2022K3";214.3;261.6;100.0
"1 Husholdninger, i alt";"2022K4";169.6;207.0;100.0
"1 Husholdninger, i alt";"2023K1";110.5;134.8;100.0
"1 Husholdninger, i alt";"2023K2";84.7;103.2;100.0
"1 Husholdninger, i alt";"2023K3";42.2;51.5;100.0
"1 Husholdninger, i alt";"2023K4";84.6;103.3;100.0
"1 Husholdninger, i alt";"2024K1";78.9;96.4;100.0
"1 Husholdninger, i alt";"2024K2";55.7;67.9;100.0
"1 Husholdninger, i alt";"2024K3";35.3;43.0;100.0
"1 Husholdninger, i alt";"2024K4";54.5;66.5;100.0
"1 Husholdninger, i alt";"2025K1";68.1;83.1;100.0
"1 Husholdninger, i alt";"2025K2";54.3;66.1;100.0
"1.1 Fastpriskontrakter, husholdninger";"2012K1";39.2;47.7;7.8
"1.1 Fastpriskontrakter, husholdninger";"2012K2";38.4;46.9;5.8
"1.1 Fastpriskontrakter, husholdninger";"2012K3";35.8;43.7;6.7
"1.1 Fastpriskontrakter, husholdninger";"2012K4";36.1;44.0;6.1
"1.1 Fastpriskontrakter, husholdninger";"2013K1";35.9;43.7;6.0
"1.1 Fastpriskontrakter, husholdninger";"2013K2";36.0;43.8;4.7
"1.1 Fastpriskontrakter, husholdninger";"2013K3";35.4;43.2;5.1
"1.1 Fastpriskontrakter, husholdninger";"2013K4";36.7;44.7;4.3
"1.1 Fastpriskontrakter, husholdninger";"2014K1";36.0;43.8;4.2
"1.1 Fastpriskontrakter, husholdninger";"2014K2";35.5;43.3;4.3
"1.1 Fastpriskontrakter, husholdninger";"2014K3";37.9;46.1;7.5
"1.1 Fastpriskontrakter, husholdninger";"2014K4";34.1;41.5;3.2
"1.1 Fastpriskontrakter, husholdninger";"2015K1";33.3;40.6;2.7
"1.1 Fastpriskontrakter, husholdninger";"2015K2";33.1;40.3;2.8
"1.1 Fastpriskontrakter, husholdninger";"2015K3";33.2;40.5;2.4
"1.1 Fastpriskontrakter, husholdninger";"2015K4";32.0;39.0;2.0
"1.1 Fastpriskontrakter, husholdninger";"2016K1";30.5;37.2;2.0
"1.1 Fastpriskontrakter, husholdninger";"2016K2";30.4;37.0;1.9
"1.1 Fastpriskontrakter, husholdninger";"2016K3";29.8;36.4;1.7
"1.1 Fastpriskontrakter, husholdninger";"2016K4";29.9;36.4;1.7
"1.1 Fastpriskontrakter, husholdninger";"2017K1";30.3;37.0;2.1
"1.1 Fastpriskontrakter, husholdninger";"2017K2";30.6;37.3;1.7
"1.1 Fastpriskontrakter, husholdninger";"2017K3";31.9;38.9;3.8
"1.1 Fastpriskontrakter, husholdninger";"2017K4";30.8;37.6;1.7
"1.1 Fastpriskontrakter, husholdninger";"2018K1";30.6;37.3;2.1
"1.1 Fastpriskontrakter, husholdninger";"2018K2";30.8;37.7;2.3
"1.1 Fastpriskontrakter, husholdninger";"2018K3";33.9;41.4;2.0
"1.1 Fastpriskontrakter, husholdninger";"2018K4";37.1;45.3;2.4
"1.1 Fastpriskontrakter, husholdninger";"2019K1";37.3;45.5;2.0
"1.1 Fastpriskontrakter, husholdninger";"2019K2";35.3;43.2;2.3
"1.1 Fastpriskontrakter, husholdninger";"2019K3";37.1;45.3;2.3
"1.1 Fastpriskontrakter, husholdninger";"2019K4";38.3;46.7;2.3
"1.1 Fastpriskontrakter, husholdninger";"2020K1";37.5;45.9;2.3
"1.1 Fastpriskontrakter, husholdninger";"2020K2";33.4;40.8;2.3
"1.1 Fastpriskontrakter, husholdninger";"2020K3";30.9;37.8;2.0
"1.1 Fastpriskontrakter, husholdninger";"2020K4";31.7;38.7;1.9
"1.1 Fastpriskontrakter, husholdninger";"2021K1";35.3;43.0;2.3
"1.1 Fastpriskontrakter, husholdninger";"2021K2";33.3;40.7;2.5
"1.1 Fastpriskontrakter, husholdninger";"2021K3";54.2;66.2;3.6
"1.1 Fastpriskontrakter, husholdninger";"2021K4";50.5;61.6;3.5
"1.1 Fastpriskontrakter, husholdninger";"2022K1";61.1;74.6;5.2
"1.1 Fastpriskontrakter, husholdninger";"2022K2";57.8;70.5;7.9
"1.1 Fastpriskontrakter, husholdninger";"2022K3";63.9;78.0;5.4
"1.1 Fastpriskontrakter, husholdninger";"2022K4";58.9;71.8;4.7
"1.1 Fastpriskontrakter, husholdninger";"2023K1";54.6;66.6;3.4
"1.1 Fastpriskontrakter, husholdninger";"2023K2";51.3;62.6;3.7
"1.1 Fastpriskontrakter, husholdninger";"2023K3";48.9;59.6;3.3
"1.1 Fastpriskontrakter, husholdninger";"2023K4";52.3;63.9;3.0
"1.1 Fastpriskontrakter, husholdninger";"2024K1";52.7;64.3;3.1
"1.1 Fastpriskontrakter, husholdninger";"2024K2";48.2;58.7;3.1
"1.1 Fastpriskontrakter, husholdninger";"2024K3";47.6;58.0;2.9
"1.1 Fastpriskontrakter, husholdninger";"2024K4";49.1;60.0;3.1
"1.1 Fastpriskontrakter, husholdninger";"2025K1";54.9;67.0;2.8
