År,TWh,Energivare
1990,5.673,Bio
1990,0.286,Fjernvarme
1990,4.1,Fyringsolje
1990,30.299,Strøm
1995,5.957,Bio
1995,0.29,Fjernvarme
1995,3.711,Fyringsolje
1995,34.627,Strøm
2000,6.614,Bio
2000,0.238,Fjernvarme
2000,2.57,Fyringsolje
2000,34.628,Strøm
2005,7.395,Bio
2005,0.427,Fjernvarme
2005,2.341,Fyringsolje
2005,34.005,Strøm
2010,8.361,Bio
2010,1.084,Fjernvarme
2010,2.271,Fyringsolje
2010,39.731,Strøm
2015,5.62,Bio
2015,1.037,Fjernvarme
2015,0.947,Fyringsolje
2015,38.57,Strøm
2020,5.627,Bio
2020,1.467,Fjernvarme
2020,0.036,Fyringsolje
2020,39.884,Strøm
2022,6.7,Bio
2022,1.7,Fjernvarme
2022,0,Fyringsolje
2022,36.3,Strøm
