År,TWh,Energivare
1990,0.001,Bio
1990,0.386,Fjernvarme
1990,3.388,Fyringsolje
1990,19.663,Strøm
1995,0.086,Bio
1995,0.536,Fjernvarme
1995,2.462,Fyringsolje
1995,19.627,Strøm
2000,0.101,Bio
2000,1.022,Fjernvarme
2000,1.624,Fyringsolje
2000,21.757,Strøm
2005,0.302,Bio
2005,1.726,Fjernvarme
2005,1.845,Fyringsolje
2005,22.216,Strøm
2010,0.352,Bio
2010,2.699,Fjernvarme
2010,1.881,Fyringsolje
2010,26.568,Strøm
2015,0.333,Bio
2015,3.256,Fjernvarme
2015,0.474,Fyringsolje
2015,25.15,Strøm
2020,0.437,Bio
2020,3.406,Fjernvarme
2020,0.015,Fyringsolje
2020,25.306,Strøm
2022,0.3,Bio
2022,3.9,Fjernvarme
2022,0.3,Fyringsolje
2022,25.7,Strøm
