Uke,Gjennomsnitt Pris (øre/kWh),Område slicer
52-2022,112.48145833333331,NO1
52-2022,112.48145833333331,NO2
52-2022,53.03908333333334,NO3
52-2022,33.250375,NO4
52-2022,112.52524999999997,NO5
01-2023,124.59667261904757,NO1
01-2023,124.59667261904757,NO2
01-2023,85.0280892857143,NO3
01-2023,56.40392261904762,NO4
01-2023,125.21852380952379,NO5
02-2023,99.86100000000005,NO1
02-2023,99.861,NO2
02-2023,75.22492857142859,NO3
02-2023,42.474886904761895,NO4
02-2023,110.04570833333334,NO5
03-2023,146.3523809523809,NO1
03-2023,146.3523809523809,NO2
03-2023,85.80383333333336,NO3
03-2023,52.85582142857144,NO4
03-2023,146.36510119047622,NO5
04-2023,146.50880952380953,NO1
04-2023,146.50880952380953,NO2
04-2023,40.78802380952381,NO3
04-2023,37.5542738095238,NO4
04-2023,145.32142857142867,NO5
05-2023,117.33249404761898,NO1
05-2023,117.33249404761898,NO2
05-2023,70.10594047619045,NO3
05-2023,46.47958333333334,NO4
05-2023,113.12385119047615,NO5
06-2023,116.42042261904767,NO1
06-2023,116.42327380952386,NO2
06-2023,32.94745833333333,NO3
06-2023,25.010827380952385,NO4
06-2023,114.69614880952382,NO5
07-2023,113.98651190476178,NO1
07-2023,114.29172023809512,NO2
07-2023,43.516226190476196,NO3
07-2023,26.83392261904763,NO4
07-2023,105.10207142857146,NO5
08-2023,104.51956547619044,NO1
08-2023,104.51956547619044,NO2
08-2023,52.61848214285715,NO3
08-2023,32.16166666666667,NO4
08-2023,102.98163690476193,NO5
09-2023,122.67096428571428,NO1
09-2023,122.67096428571428,NO2
09-2023,33.7015,NO3
09-2023,26.262017857142855,NO4
09-2023,122.66920238095233,NO5
10-2023,129.2919940476191,NO1
10-2023,129.29205952380957,NO2
10-2023,87.40550595238098,NO3
10-2023,83.6264523809524,NO4
10-2023,128.94800595238107,NO5
11-2023,107.9762023809524,NO1
11-2023,107.98225000000005,NO2
11-2023,57.20340476190478,NO3
11-2023,45.11954761904762,NO4
11-2023,108.48683333333334,NO5
12-2023,93.35105389221556,NO1
12-2023,93.35105389221556,NO2
12-2023,53.599443113772466,NO3
12-2023,35.255281437125774,NO4
12-2023,94.98548502994014,NO5
13-2023,110.35001785714286,NO1
13-2023,110.35001785714286,NO2
13-2023,81.87279761904762,NO3
13-2023,45.41800595238095,NO4
13-2023,110.3500178571429,NO5
14-2023,123.64635119047618,NO1
14-2023,123.64635119047614,NO2
14-2023,84.46065476190476,NO3
14-2023,37.9208630952381,NO4
14-2023,123.82147023809523,NO5
15-2023,100.28679166666664,NO1
15-2023,100.28679166666667,NO2
15-2023,43.0814880952381,NO3
15-2023,32.544755952380946,NO4
15-2023,106.23076190476188,NO5
16-2023,109.44803571428574,NO1
16-2023,109.44803571428572,NO2
16-2023,68.67050595238092,NO3
16-2023,41.43205357142856,NO4
16-2023,110.19302976190477,NO5
17-2023,113.35495238095241,NO1
17-2023,113.35495238095233,NO2
17-2023,83.04625595238095,NO3
17-2023,50.331398809523826,NO4
17-2023,114.94313095238084,NO5
18-2023,105.63222619047622,NO1
18-2023,105.63222619047622,NO2
18-2023,89.84141666666672,NO3
18-2023,50.825190476190485,NO4
18-2023,107.1279880952381,NO5
19-2023,89.41063095238091,NO1
19-2023,90.30773809523808,NO2
19-2023,37.32613690476191,NO3
19-2023,32.66163095238097,NO4
19-2023,89.41063095238094,NO5
20-2023,67.694869047619,NO1
20-2023,68.85576785714288,NO2
20-2023,7.327226190476186,NO3
20-2023,7.327226190476192,NO4
20-2023,67.69486904761905,NO5
21-2023,60.99926785714286,NO1
21-2023,65.24535119047616,NO2
21-2023,3.89845238095238,NO3
21-2023,3.89845238095238,NO4
21-2023,61.18145238095237,NO5
22-2023,56.32961904761905,NO1
22-2023,65.40624404761901,NO2
22-2023,8.83276785714286,NO3
22-2023,8.823601190476191,NO4
22-2023,56.32961904761905,NO5
23-2023,60.200851190476214,NO1
23-2023,80.01502380952384,NO2
23-2023,20.887392857142864,NO3
23-2023,18.369130952380957,NO4
23-2023,60.399940476190466,NO5
24-2023,83.57814880952385,NO1
24-2023,105.96563690476184,NO2
24-2023,30.342279761904756,NO3
24-2023,27.15925595238095,NO4
24-2023,83.57814880952385,NO5
25-2023,78.89308928571421,NO1
25-2023,113.82977380952386,NO2
25-2023,23.476422619047632,NO3
25-2023,22.386470238095246,NO4
25-2023,78.89308928571427,NO5
26-2023,67.85387499999999,NO1
26-2023,86.15401190476186,NO2
26-2023,22.922898809523804,NO3
26-2023,22.148726190476193,NO4
26-2023,67.51719642857142,NO5
27-2023,60.02691666666665,NO1
27-2023,84.76400595238096,NO2
27-2023,41.25677976190478,NO3
27-2023,27.879785714285713,NO4
27-2023,60.25550595238095,NO5
28-2023,41.806535714285715,NO1
28-2023,67.29653571428568,NO2
28-2023,28.38254166666666,NO3
