Kommune (Municipality),Kommunenummer (Municipality Number),Prisområde (Price Zone)
Agder,,
Arendal,4203,NO2
Birkenes,4216,NO2
Bygland,4220,NO2
Bykle,4222,NO2
Evje og Hornnes,4219,NO2
Farsund,4206,NO2
Flekkefjord,4207,NO2
Froland,4214,NO2
Gjerstad,4211,NO2
Grimstad,4202,NO2
Hægebostad,4226,NO2
Iveland,4218,NO2
Kristiansand,4204,NO2
Kvinesdal,4227,NO2
Lillesand,4215,NO2
Lindesnes,4205,NO2
Lyngdal,4225,NO2
Risør,4201,NO2
Sirdal,4228,NO2
Tvedestrand,4213,NO2
Valle,4221,NO2
Vegårshei,4212,NO2
Vennesla,4223,NO2
Åmli,4217,NO2
Åseral,4224,NO2
Akershus,,
Asker,3203,NO1
Aurskog-Høland,3226,NO1
Bærum,3201,NO1
Eidsvoll,3240,NO1
Enebakk,3220,NO1
Frogn,3214,NO1
Gjerdrum,3236,NO1
Hurdal,3242,NO1
Jevnaker,3236,NO1
Lillestrøm,3205,NO1
Lunner,3236,NO1
Lørenskog,3222,NO1
Nannestad,3238,NO1
Nes,3234,NO1
Nesodden,3212,NO1
Nittedal,3224,NO1
Nordre Follo,3207,NO1
Rælingen,3228,NO1
Ullensaker,3209,NO1
Vestby,3216,NO1
Ås,3218,NO1
Buskerud,,
Drammen,3301,NO1
Flesberg,3334,NO1
Flå,3320,NO1
Gol,3324,NO1
Hemsedal,3326,NO5
Hol,3330,NO5
Hole,3310,NO1
Kongsberg,3303,NO1
Krødsherad,3318,NO1
Lier,3312,NO1
Modum,3316,NO1
Nesbyen,3322,NO1
Nore og Uvdal,3338,NO1
Ringerike,3305,NO1
Rollag,3336,NO1
Sigdal,3332,NO1
Øvre Eiker,3314,NO1
Ål,3328,NO5
Finnmark,,
Alta,5601,NO4
Berlevåg,5628,NO4
Båtsfjord,5626,NO4
Gamvik,5624,NO4
Hammerfest,5603,NO4
Hasvik,5618,NO4
Karasjok - Kárášjohka,5612,NO4
Kautokeino - Guovdageaidnu,5610,NO4
Lebesby,5622,NO4
Loppa,5616,NO4
Måsøy,5620,NO4
Nesseby - Unjárga,5632,NO4
Nordkapp,5630,NO4
Porsanger - Porsáŋgu - Porsanki,5614,NO4
Sør-Varanger,5605,NO4
Tana - Deatnu,5634,NO4
Vadsø,5607,NO4
Vardø,5636,NO4
Innlandet,,
Alvdal,3428,NO1
Dovre,3431,NO3
Eidskog,3416,NO1
Elverum,3420,NO1
Engerdal,3425,NO1
Etnedal,3450,NO1
Folldal,3429,NO3
Gausdal,3441,NO1
Gjøvik,3407,NO1
Gran,3446,NO1
Grue,3417,NO1
Hamar,3403,NO1
Kongsvinger,3401,NO1
Lesja,3432,NO3
Lillehammer,3405,NO1
Lom,3434,NO3
Løten,3412,NO1
Nord-Aurdal,3451,NO1
Nord-Fron,3436,NO1
Nord-Odal,3414,NO1
Nordre Land,3448,NO1
Os,3430,NO3
Rendalen,3424,NO1
Ringebu,3439,NO1
Ringsaker,3411,NO1
Sel,3437,NO1
Skjåk,3433,NO3
Stange,3413,NO1
Stor-Elvdal,3423,NO1
Søndre Land,3447,NO1
Sør-Aurdal,3449,NO1
Sør-Fron,3438,NO1
Sør-Odal,3415,NO1
Tolga,3426,NO3
Trysil,3421,NO1
Tynset,3427,NO3
Vang,3454,NO5
Vestre Slidre,3452,NO5
Vestre Toten,3443,NO1
Våler,3419,NO1
Vågå,3435,NO3
Østre Toten,3442,NO1
Øyer,3440,NO1
Øystre Slidre,3453,NO5
Åmot,3422,NO1
Åsnes,3418,NO1
Møre og Romsdal,,
Aukra,1547,NO3
Aure,1576,NO3
Averøy,1554,NO3
Fjord,1578,NO3
Giske,1532,NO3
Gjemnes,1557,NO3
Haram,1580,NO3
Hareid,1517,NO3
Herøy,1515,NO3
Hustadvika,1579,NO3
Kristiansund,1505,NO3
Molde,1506,NO3
Rauma,1539,NO3
Sande,1514,NO3
Smøla,1573,NO3
Stranda,1525,NO3
Sula,1531,NO3
Sunndal,1563,NO3
Surnadal,1566,NO3
Sykkylven,1528,NO3
Tingvoll,1560,NO3
Ulstein,1516,NO3
Vanylven,1511,NO3
Vestnes,1535,NO3
Volda,1577,NO3
Ørsta,1520,NO3
Ålesund,1508,NO3
Nordland,,
Alstahaug,1820,NO4
Andøy,1871,NO4
Beiarn,1839,NO4
Bindal,1811,NO4
Bodø,1804,NO4
Brønnøy,1813,NO4
Bø,1867,NO4
Dønna,1827,NO4
Evenes,1853,NO4
Fauske,1841,NO4
Flakstad,1859,NO4
Gildeskål,1838,NO4
Grane,1825,NO4
Hadsel,1866,NO4
Hamarøy,1875,NO4
Hattfjelldal,1826,NO4
Hemnes,1832,NO4
Herøy,1818,NO4
Leirfjord,1822,NO4
Lurøy,1834,NO4
Lødingen,1851,NO4
Meløy,1837,NO4
Moskenes,1874,NO4
Narvik,1806,NO4
Nesna,1828,NO4
Rana,1833,NO4
Rødøy,1835,NO4
Røst,1856,NO4
Saltdal,1840,NO4
Sortland,1870,NO4
Steigen,1848,NO4
Sømna,1812,NO4
Sørfold,1845,NO4
Træna,1836,NO4
Vefsn,1824,NO4
Vega,1815,NO4
Vestvågøy,1860,NO4
Vevelstad,1816,NO4
Vågan,1865,NO4
Værøy,1857,NO4
Øksnes,1868,NO4
Oslo,,
Oslo,301,NO1
Rogaland,,
Bjerkreim,1114,NO2
Bokn,1145,NO2
Eigersund,1101,NO2
Gjesdal,1122,NO2
Haugesund,1106,NO2
Hjelmeland,1133,NO2
Hå,1119,NO2
Karmøy,1149,NO2
Klepp,1120,NO2
Kvitsøy,1144,NO2
Lund,1112,NO2
Randaberg,1127,NO2
Sandnes,1108,NO2
Sauda,1135,NO2
Sokndal,1111,NO2
Sola,1124,NO2
Stavanger,1103,NO2
Strand,1130,NO2
Suldal,1134,NO2
Time,1121,NO2
Tysvær,1146,NO2
Utsira,1151,NO2
Vindafjord,1160,NO2
Telemark,,
Bamble,4012,NO2
Drangedal,4016,NO2
Fyresdal,4032,NO2
Hjartdal,4024,NO2
Kragerø,4014,NO2
Kviteseid,4028,NO2
Midt-Telemark,4020,NO2
Nissedal,4030,NO2
Nome,4018,NO2
Notodden,4005,NO2
Porsgrunn,4001,NO2
Seljord,4022,NO2
Siljan,4010,NO2
